"","lon","lat","species"
"1251",-114.324167,34.346944,"Ephedra fasciculata"
"1252",-116.3858,33.0379,"Ephedra aspera"
"1253",-116.02194,34.66889,"Ephedra californica"
"1254",-115.6763,34.7088,"Ephedra californica"
"1255",-119.678889,35.058333,"Ephedra californica"
"1258",-116.11861,32.70361,"Ephedra aspera"
"1259",-119.67889,35.058333,"Ephedra californica"
"1261",-119.665278,35.027778,"Ephedra californica"
"1262",-115.6739,34.7097,"Ephedra californica"
"1264",-115.2919,32.9735,"Ephedra trifurca"
"1269",-119.03333,34.76666,"Ephedra viridis"
"1273",-116.45,35.9,"Ephedra funerea"
"1277",-116.45,35.9,"Ephedra californica"
"1280",-116.4769,33.0994,"Ephedra fasciculata"
"1284",-116.730278,34.628889,"Ephedra viridis"
"1287",-114.218743,34.304139,"Ephedra fasciculata"
"1290",-114.817667,34.0190779991247,"Ephedra trifurca"
"1291",-114.32472,34.34694,"Ephedra fasciculata"
"1299",-116.4327,33.1049,"Ephedra fasciculata"
"1300",-119.5875,34.824444,"Ephedra viridis"
"1305",-115.6626,34.7028,"Ephedra aspera"
"1307",-119.553889,35.019722,"Ephedra californica"
"1308",-111.64,36.81,"Ephedra torreyana"
"1309",-115.6626,34.7028,"Ephedra californica"
"1312",-116.3853,33.0389,"Ephedra fasciculata"
"1315",-115.65333,34.78167,"Ephedra californica"
"1317",-115.58,34.6061109991177,"Ephedra californica"
"1318",-119.681944,35.030833,"Ephedra viridis"
"1320",-116.138923,34.0864769991238,"Ephedra aspera"
"1321",-116.32694,33.05333,"Ephedra nevadensis"
"1324",-115.04156,34.1115,"Ephedra trifurca"
"1325",-117.56778,35.39083,"Ephedra nevadensis"
"1331",-116.334444,34.828333,"Ephedra nevadensis"
"1335",-119.615833,35.024722,"Ephedra viridis"
"1344",-114.6101,33.0216,"Ephedra fasciculata"
"1345",-116.4327,33.1049,"Ephedra aspera"
"1346",-116.609548536017,34.6748105541281,"Ephedra nevadensis"
"1349",-116.45194,34.14917,"Ephedra nevadensis"
"1350",-108.53361,32.49861,"Ephedra trifurca"
"1352",-110.92111,33.61972,"Ephedra fasciculata"
"1353",-115.533333,35.475,"Ephedra nevadensis"
"1355",-115.53333,35.475,"Ephedra nevadensis"
"1356",-116.3597,33.0176,"Ephedra aspera"
"1357",-116.4346,33.0468,"Ephedra aspera"
"1361",-116.4525,34.1505,"Ephedra californica"
"1362",-117.8128,34.3572,"Ephedra viridis"
"1363",-117.80429,34.42548,"Ephedra viridis"
"1364",-118.113333,35.589444,"Ephedra viridis"
"1366",-117.80428,34.42547,"Ephedra viridis"
"1369",-111.76861,34.8175,"Ephedra cutleri"
"1370",-117.813434315801,34.457158144151,"Ephedra viridis"
"1373",-118.11333,35.58944,"Ephedra viridis"
"1374",-117.81281,34.45719,"Ephedra viridis"
"1376",-117.813433301928,34.3571608901709,"Ephedra viridis"
"1377",-117.8128,34.4572,"Ephedra viridis"
"1378",-117.804167,34.425556,"Ephedra viridis"
"1380",-118.113889,35.589444,"Ephedra viridis"
"1381",-116.3463,33.0183,"Ephedra aspera"
"1382",-110.72675,33.351217,"Ephedra trifurca"
"1383",-119.733889,34.831389,"Ephedra viridis"
"1384",-108.63,39.03,"Ephedra viridis"
"1392",-114.1511,40.4811,"Ephedra nevadensis"
"1394",-111.86,36.89,"Ephedra cutleri"
"1395",-108.59972,39.05833,"Ephedra torreyana"
"1397",-108.61,39.05,"Ephedra torreyana"
"1400",-108.63722,39.03694,"Ephedra viridis"
"1402",-117.6837,39.2628,"Ephedra viridis"
"1403",-117.4325,34.48222,"Ephedra nevadensis"
"1404",-117.9286,39.2994,"Ephedra nevadensis"
"1412",-117.92861,39.29939,"Ephedra nevadensis"
"1475",-116.52833,33.86,"Ephedra californica"
"1477",-114.399722,34.305,"Ephedra aspera"
"1478",-114.39972,34.30778,"Ephedra aspera"
"1479",-114.399722,34.307778,"Ephedra aspera"
"1480",-116.66778,33.89972,"Ephedra californica"
"1486",-116.667778,33.899722,"Ephedra californica"
